GIDTR,State,State_name,County,County_name,Tract,Num_BGs_in_Tract,pct_Prs_Blw_Pov_Lev_ACS__,pct_Civ_unemp_16p_ACS__,pct_Not_HS_Grad_ACS__,pct_College_ACS__,pct_Renter_Occp_HU_ACS__,pct_Vacant_Units_ACS__,No_Health_Ins_ACS__,pct_Males_ACS__,pct_NH_White_alone_ACS__,pct_NH_Blk_alone_ACS__,Tot_Population_ACS__,LAND_AREA,pct_Pop_25_44_ACS__,pct_Pop_Below25_ACS__,pct_Pop_45plus_ACS__,Pop_density_calculated_ACS,Pct_No_Health_Ins_CALCULATED_ACS__,Med_HHD_Inc_Thousands_ACS__,dist_general_km,dist_sud_km,general_facility_count,sud_facility_count,general_facility_count_5km,sud_facility_count_5km,general_facilities_per_10k,sud_facilities_per_10k,general_facilities_per_10k_5km,sud_facilities_per_10k_5km,accessibility_general_2sfca_10km_per10k,accessibility_sud_2sfca_10km_per10k,accessibility_general_2sfca_20km_per10k,accessibility_sud_2sfca_20km_per10k,accessibility_general_2sfca_30km_per10k,accessibility_sud_2sfca_30km_per10k,Intent,Period,Count,Rate,Rate_M,Rate_M_CI,Rate_Independent,Med_HHD_Inc_Thousands_ACS___Neighbor_1,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg,pct_Renter_Occp_HU_ACS___Neighbor_1,pct_Renter_Occp_HU_ACS___Neighbor_Avg,pct_Prs_Blw_Pov_Lev_ACS___Neighbor_1,pct_Prs_Blw_Pov_Lev_ACS___Neighbor_Avg,pct_Vacant_Units_ACS___Neighbor_1,pct_Vacant_Units_ACS___Neighbor_Avg,Pct_No_Health_Ins_CALCULATED_ACS___Neighbor_1,Pct_No_Health_Ins_CALCULATED_ACS___Neighbor_Avg,Rate_Independent_Neighbor_1,Rate_Independent_Neighbor_Avg,year_pair,Cluster_ID
53033005803,53,Washington,33,King County,5803,2,16.36,3.76,2.88,74.4,57.54,5.27,110.0,53.81,63.55,3.26,3284.0,0.321,54.29,10.05,30.39,10230.53,3.35,142.463,0.904,3.041,0,0,15,5,0.0,0.0,45.676,15.225,0.997,0.366,0.939,0.403,0.922,0.388,Drug_OD,TTM,1-9,15.7,1.0,7.9-37.2,15.4,92.171,143.571,71.62,50.303,5.25,4.323,7.44,6.877,9.51,4.02,32.7,20.6,2024→2025,0
53033005804,53,Washington,33,King County,5804,2,5.25,6.76,1.88,62.87,71.62,7.44,233.0,51.49,75.01,1.27,2449.0,0.901,59.94,7.27,27.15,2718.09,9.51,92.171,1.696,3.006,0,0,30,11,0.0,0.0,122.499,44.916,1.334,0.571,1.06,0.47,1.004,0.426,Drug_OD,TTM,1-9,29.7,1.0,17.0-61.8,32.7,172.404,127.896,40.91,54.413,2.91,8.23,8.68,8.723,4.3,6.587,32.7,26.933,2024→2025,3
53033005901,53,Washington,33,King County,5901,3,12.45,5.87,0.0,76.7,52.64,3.8,100.0,46.58,64.64,2.17,3832.0,0.301,30.14,46.68,21.82,12730.9,2.61,150.5,1.124,1.425,0,0,20,5,0.0,0.0,52.192,13.048,1.17,0.415,1.009,0.422,0.957,0.397,Drug_OD,TTM,1-9,20.5,1.0,11.4-43.7,13.7,177.964,151.747,31.73,47.953,7.91,7.673,3.85,6.017,0.93,1.85,13.7,18.767,2024→2025,0
53033005902,53,Washington,33,King County,5902,3,7.91,1.62,1.08,77.44,31.73,3.85,39.0,52.34,64.37,1.9,4213.0,0.395,34.3,24.28,31.78,10665.82,0.93,177.964,1.042,1.611,0,0,25,7,0.0,0.0,59.34,16.615,1.208,0.449,1.016,0.429,0.964,0.404,Drug_OD,TTM,1-9,20.5,1.0,11.4-43.7,13.7,150.5,151.94,52.64,50.233,12.45,7.89,3.8,5.833,2.61,4.297,13.7,15.467,2024→2025,0
53033006000,53,Washington,33,King County,6000,4,8.31,2.07,2.03,71.16,57.15,5.02,374.0,48.86,68.84,2.96,6251.0,0.518,50.1,15.93,30.43,12067.57,5.98,132.917,0.702,0.826,0,0,48,14,0.0,0.0,76.788,22.396,1.365,0.525,1.092,0.455,1.013,0.426,Drug_OD,TTM,1-9,18.1,1.0,9.8-39.4,0.0,160.313,132.517,58.26,54.84,3.08,6.017,3.59,3.637,0.31,2.377,0.0,7.1,2024→2025,0
53033006100,53,Washington,33,King County,6100,5,10.32,7.26,0.29,84.98,52.95,9.95,86.0,49.92,75.62,1.85,5891.0,0.463,49.48,15.3,32.66,12723.54,1.46,134.974,1.254,2.173,0,0,50,14,0.0,0.0,84.875,23.765,1.461,0.558,1.159,0.478,1.057,0.443,Drug_OD,TTM,1-9,18.1,1.0,9.8-39.4,0.0,135.881,66.596,67.6,88.003,6.09,28.89,7.53,13.95,2.43,4.497,0.0,8.467,2024→2025,0
53033006200,53,Washington,33,King County,6200,3,3.49,4.27,1.18,83.93,7.17,0.6,0.0,50.94,77.24,2.0,4201.0,0.941,28.18,18.57,48.25,4464.4,0.0,238.571,1.228,2.624,0,0,47,16,0.0,0.0,111.878,38.086,1.542,0.639,1.251,0.516,1.113,0.464,Drug_OD,TTM,0,0.0,0.0,,0.0,182.625,126.809,14.24,57.063,4.66,18.847,0.48,2.37,0.64,3.01,48.9,20.533,2024→2025,0
53033006300,53,Washington,33,King County,6300,4,2.58,13.95,0.82,87.73,41.6,8.9,31.0,48.96,85.76,0.74,5709.0,1.008,24.98,21.31,49.71,5663.69,0.54,165.125,2.678,3.389,0,0,36,6,0.0,0.0,63.058,10.51,1.622,0.649,1.314,0.528,1.142,0.471,Drug_OD,TTM,0,0.0,0.0,,0.0,238.571,223.732,7.17,11.01,3.49,3.67,0.6,1.743,0.0,0.493,0.0,23.1,2024→2025,0
53033006400,53,Washington,33,King County,6400,3,4.66,4.11,0.47,86.55,14.24,0.48,22.0,49.1,78.59,0.93,3452.0,0.349,26.01,20.77,48.06,9891.12,0.64,182.625,0.591,1.424,0,0,50,23,0.0,0.0,144.844,66.628,1.429,0.599,1.184,0.496,1.082,0.442,Drug_OD,TTM,1-9,29.3,1.0,17.3-58.9,48.9,131.029,122.441,60.92,67.03,7.2,6.74,0.0,5.06,1.06,1.747,48.9,38.5,2024→2025,3
53033006500,53,Washington,33,King County,6500,3,6.5,4.85,1.44,81.81,56.95,6.63,160.0,53.7,71.76,0.4,4756.0,0.443,55.03,9.92,32.71,10735.89,3.36,161.926,0.982,1.689,0,0,51,20,0.0,0.0,107.233,42.052,1.488,0.632,1.169,0.499,1.074,0.442,Drug_OD,TTM,0,0.0,0.0,,0.0,134.393,104.129,79.29,83.23,5.07,7.467,8.83,6.427,0.8,2.7,66.6,66.6,2024→2025,0
