Med_HHD_Inc_Thousands_ACS__,pct_Renter_Occp_HU_ACS__,pct_Vacant_Units_ACS__,pct_Not_HS_Grad_ACS__,pct_College_ACS__,pct_NH_Blk_alone_ACS__,Pct_No_Health_Ins_CALCULATED_ACS__,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg,pct_Vacant_Units_ACS___Neighbor_Avg,pct_Renter_Occp_HU_ACS___Neighbor_Avg,GIDTR
1.1237406,2.0354507,-1.2640848,7.5507226,1.7585931,0.31359494,-3.4703057,8.127805,-3.5129876,-3.6840014,53033011200
2.5027442,-1.7043638,-2.9131994,0.5515878,2.7783847,-0.007211373,2.5453827,8.777002,-2.8802807,-1.0706186,53033011300
1.0022225,-2.7310457,0.183962,-0.6298321,-0.91716397,3.5549023,-0.51142895,6.3115296,-2.5099623,-4.070433,53033011401
1.822638,-1.9772896,-0.90430516,-0.5675566,2.334299,0.20424068,-1.258065,3.781625,-3.1031146,-2.7686362,53033011402
1.4466038,2.003113,-0.598749,-0.7070366,-0.073654726,-2.0178287,0.7633686,-2.551843,-1.5205841,-0.5843031,53033011500
-2.2721844,-2.431958,-1.1093665,-1.2709427,0.83369255,-0.70637,0.9098037,7.2167344,-2.275481,-1.2540739,53033011601
0.58804077,6.1010303,1.6906509,-0.4959052,-0.051622845,-1.4931276,0.72635776,-8.786485,-1.3065504,-0.9672664,53033011602
-0.51616174,-1.5563048,-1.2507372,7.94166,0.50149167,2.8745596,-2.8264728,5.4029717,-4.797886,-5.2396975,53033011700
4.7100596,-0.39547876,9.382949,7.44038,4.043086,8.146627,-1.0172203,8.227204,-6.3561354,-1.3159599,53033011801
-1.5873383,-16.0942,-2.111842,6.4445186,2.1679764,10.375835,-1.489312,2.8451097,38.47756,-3.2589717,53033011802
-1.5933152,-3.722713,-0.85493606,3.0787754,1.1384025,0.34290963,-0.7165854,8.769307,-5.2368116,-2.8133805,53033011901
7.388547,-0.27263042,4.823278,6.7006702,2.9789057,15.173807,2.68474,8.548491,-2.8599985,-4.252468,53033011902
0.9597315,-3.3851528,0.64611095,-1.4428238,-0.029120099,-1.7659581,0.33228615,-1.0743076,-2.1297355,-2.6847548,53033020100
0.034397367,-1.956263,0.6628577,-1.8254181,-1.2146908,-0.31547362,0.63226926,-0.5660584,-2.2658532,-2.6991065,53033020200
2.7191093,3.740485,-0.46113124,-1.0516932,3.9032776,0.47399417,-0.7819255,8.804536,-1.3674272,-2.684574,53033020301
2.733656,-1.4935763,0.64670837,0.22731851,3.9038017,-0.5308911,1.7907517,6.866671,-2.7270594,-0.0857999,53033020302
2.3570676,-1.6390897,0.17421764,-1.1792477,3.1390498,-0.12624724,3.02241,7.6276646,-0.1279372,0.24900131,53033020401
0.43719023,-1.7651405,-0.042227678,-1.9548278,-1.2810922,-1.3464725,0.6856942,-9.10103,-2.756228,-1.8268654,53033020402
0.09140736,-1.3237592,0.21287724,-1.6743013,-0.9583687,0.008792251,0.4717997,-0.22007488,-2.0739117,-2.1524482,53033020500
-2.8764927,-3.4504907,-0.5385226,-2.1451197,1.7801217,1.3558724,0.6587329,6.0660663,-3.7549183,-1.6281499,53033020600
1.4504248,-1.3205923,-0.017199965,-1.880986,0.7674837,2.137799,1.5642968,-1.7483866,-3.6673856,-4.1911373,53033020700
-4.3646793,-2.3118272,0.16993308,-1.9429308,-1.9908165,-0.91386527,0.507435,6.7290864,-2.7261264,-2.3706431,53033020800
0.69964707,-2.9616323,-1.8972503,-2.379047,0.9539401,0.006463371,-0.6765254,9.053863,-3.1719437,-4.0445285,53033020900
0.7528842,-0.8371308,-1.0843002,0.3073466,1.7337875,4.1808324,1.0212991,-2.9291723,-3.8532333,-3.0047257,53033021000
0.41520533,-1.7285374,-0.74872035,-1.5048311,-1.2351724,-1.6677195,1.0006733,4.0714536,-1.6804681,-2.394141,53033021100
3.0430129,-2.2181377,-1.4918312,-2.5032153,-1.9405581,-1.2423916,1.9802179,0.60096335,-3.0217047,-3.7836382,53033021300
-4.569451,-2.4096687,0.43276513,-0.84312165,0.1318112,-1.2207766,0.14561656,-6.453199,-2.718029,-2.0396457,53033021400
-4.79712,-3.628786,0.007848342,-0.7978785,-0.23038483,-2.236935,0.12925765,-2.794394,-3.0071027,-2.5620897,53033021500
0.21525562,-1.5960298,-0.2074453,-1.3843092,-1.706815,-1.1670732,0.23243465,-8.896687,-1.8292743,-1.9178249,53033021600
-5.1841326,-2.409045,-3.5693674,-1.9850987,-0.51174927,-2.2863252,0.01965218,1.3960072,-2.4137928,-0.76793164,53033021701
3.0404973,-3.1061532,0.4488236,-2.1014404,-0.9848662,-0.7562609,-0.29365668,-8.441459,-2.1245708,-2.9962513,53033021702
-0.44477138,-1.4927295,-0.01887633,-2.072334,-1.3557669,-3.7168531,0.36383542,-0.0043960554,0.4064587,-1.5287628,53033021802
-0.11987132,-2.2020774,-0.8079224,-0.90019524,-0.9445463,-3.0868251,-0.2920483,-1.6320881,-1.2143803,-0.8496224,53033021803
1.152562,-2.8706021,7.56183,-1.5850949,-2.021588,-3.5582345,0.71430767,-1.6686466,-4.1296544,-3.6461213,53033021804
1.8438498,-2.6894631,-0.9970779,-1.7513946,0.9620559,-0.8921821,-0.38266635,-3.4081776,-3.7118235,-4.047059,53033021903
-0.72747743,-2.4647746,-1.3699691,-0.6449117,-1.5129663,-2.6655517,0.525408,-1.6356882,-3.604098,-2.3579013,53033021904
-0.042845547,-2.1852553,-1.2952421,-1.393352,-0.28987354,-1.649913,1.8526964,-5.1439686,-1.9688854,-3.3821592,53033021905
-0.22969867,-1.7703758,-0.09436442,-1.4067161,-0.10653441,-3.043638,0.0048150197,-3.5113852,-1.7326103,-2.9507668,53033021906
0.3893916,-0.7874415,-0.9636682,-1.6018459,-0.16429517,-1.5788654,0.79774475,-6.164593,-1.5388683,-1.7450125,53033022001
